variable_name,description,source_file,source_type,page,description_lower,lgbt_relevance_score,relevance_reasons
TRNSGNDR,"Do you consider yourself to be transgender? (If yes, ask “Do you consider yourself to be male-to-female,",CODEBOOK14_LLCP.pdf,pdf_text,83.0,"do you consider yourself to be transgender? (if yes, ask “do you consider yourself to be male-to-female,",21,"direct_lgbt_indicator, key_demographic, variable_pattern"
SDHSTRES,Sexual orientation or gender identity,codebook17_llcp-v2-508.pdf,pdf_text,138.0,sexual orientation or gender identity,15,"direct_lgbt_indicator, key_demographic"
SOFEMALE,Do you consider yourself to be transgender?,codebook20_llcp-v2-508.pdf,pdf_text,109.0,do you consider yourself to be transgender?,15,"direct_lgbt_indicator, key_demographic"
_AIDTST2,Adults aged 18-64 that have ever been tested for HIV,codebook_10.pdf,pdf_text,128.0,adults aged 18-64 that have ever been tested for hiv,12,"key_demographic, lgbt_health_disparity"
ADDEPEV,"Has a doctor or other healthcare provider EVER told you that you have a depressive disorder (including depression,",codebook_10.pdf,pdf_text,68.0,"has a doctor or other healthcare provider ever told you that you have a depressive disorder (including depression,",11,"lgbt_health_disparity, healthcare_access"
SEX,Indicate sex of respondent.,CODEBOOK11_LLCP.pdf,pdf_text,33.0,indicate sex of respondent.,11,"key_demographic, variable_pattern"
WHRTST10,"Where did you have your last HIV test — at a private doctor or HMO office, at a counseling and testing site, in the",CODEBOOK13_LLCP.pdf,pdf_text,47.0,"where did you have your last hiv test — at a private doctor or hmo office, at a counseling and testing site, in the",11,"lgbt_health_disparity, healthcare_access"
WHRTST8,"Where did you have your last HIV test — at a private doctor or HMO office, at a counseling and testing site, at a",CODEBOOK12_LLCP.pdf,pdf_text,112.0,"where did you have your last hiv test — at a private doctor or hmo office, at a counseling and testing site, at a",11,"lgbt_health_disparity, healthcare_access"
VHDRPTSD,"Has a doctor or other health professional ever told you that you have depression, anxiety, or post traumatic stress",CODEBOOK11_LLCP.pdf,pdf_text,109.0,"has a doctor or other health professional ever told you that you have depression, anxiety, or post traumatic stress",11,"lgbt_health_disparity, healthcare_access"
WHRTST9,"Where did you have your last HIV test — at a private doctor or HMO office, at a counseling and testing site, at a",CODEBOOK11_LLCP.pdf,pdf_text,124.0,"where did you have your last hiv test — at a private doctor or hmo office, at a counseling and testing site, at a",11,"lgbt_health_disparity, healthcare_access"
VIMACDG3,Have you EVER been told by an eye doctor or other health care professional that you had age-related macular,CODEBOOK11_LLCP.pdf,pdf_text,67.0,have you ever been told by an eye doctor or other health care professional that you had age-related macular,9,"key_demographic, healthcare_access"
PCPSAAD2,"Has a doctor, nurse, or other health professional EVER talked with you about the advantages of the PSA test?",CODEBOOK13_LLCP.pdf,pdf_text,76.0,"has a doctor, nurse, or other health professional ever talked with you about the advantages of the psa test?",9,"key_demographic, healthcare_access"
HLTHPLAN,"Do you have any kind of health care coverage, including health insurance, prepaid plans such as HMOs, or",codebook_10.pdf,pdf_text,10.0,"do you have any kind of health care coverage, including health insurance, prepaid plans such as hmos, or",9,"key_demographic, healthcare_access"
_HLTHPLN,Respondents aged 18-64 with health insurance,codebook21_llcp-v2-508.pdf,pdf_text,133.0,respondents aged 18-64 with health insurance,9,"key_demographic, healthcare_access"
HLTHPLN1,"Do you have any kind of health care coverage, including health insurance, prepaid plans such as HMOs, or",CODEBOOK11_LLCP.pdf,pdf_text,14.0,"do you have any kind of health care coverage, including health insurance, prepaid plans such as hmos, or",9,"key_demographic, healthcare_access"
PCPSADIS,Before you had the PSA test did a doctor EVER talk with you about the disadvantages of the PSA test?,CODEBOOK11_LLCP.pdf,pdf_text,85.0,before you had the psa test did a doctor ever talk with you about the disadvantages of the psa test?,9,"key_demographic, healthcare_access"
